# Generated 20260524-165119 - 350 distinct sponsors for AMB-700829 Double Diamond wave
# bucket|slug|EP|ETSize|DTL|DTR|DirectSponsored|MemberId|CurRankName
A_SilverCand|lt-b036a425-w1-i139-8076bd|12|1|.0000|.0000|1|AMB-376071|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i171-e168e3|12|1|6.0000|6.0000|1|AMB-066990|Lifestyle
A_SilverCand|lt-b036a425-w1-i15-ff2479|12|1|.0000|.0000|1|AMB-610068|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i144-d9c0c0|12|1|150.0000|18.0000|1|AMB-591716|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i163-dc95be|12|1|114.0000|18.0000|1|AMB-823165|Lifestyle
A_SilverCand|lt-b036a425-w1-i281-4cd904|12|1|.0000|.0000|1|AMB-705066|Lifestyle
A_SilverCand|lt-9d788e06-w1-i187-f5275a|12|1|6.0000|6.0000|1|AMB-295076|Lifestyle
A_SilverCand|lt-b036a425-w1-i68-76d402|6|0|6.0000|6.0000|0|AMB-836338|Lifestyle
A_SilverCand|lt-ecd8fb8e-w1-i113-d0c983|6|0|6.0000|6.0000|0|AMB-124853|Lifestyle
A_SilverCand|lt-a222f227-w3-i36-eaa5bb|6|0|42.0000|54.0000|0|AMB-196862|Lifestyle
A_SilverCand|lt-c8241e81-w1-i266-90dcb3|6|0|.0000|.0000|0|AMB-280877|Lifestyle
A_SilverCand|lt-a222f227-w4-i39-987712|6|0|18.0000|30.0000|0|AMB-854394|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i134-d4353d|6|0|198.0000|18.0000|0|AMB-218997|Lifestyle
A_SilverCand|lt-c8241e81-w1-i226-6da648|6|0|.0000|.0000|0|AMB-968176|Lifestyle
A_SilverCand|lt-c8241e81-w1-i87-f3db5f|6|0|.0000|.0000|0|AMB-896122|Lifestyle
A_SilverCand|lt-b036a425-w1-i210-771962|6|0|.0000|.0000|0|AMB-851061|Lifestyle
A_SilverCand|lt-c727361f-l50-31-747554|6|0|522.0000|426.0000|0|AMB-277789|Lifestyle
A_SilverCand|lt-c4b8202b-w1-i113-8d823c|6|0|.0000|.0000|0|AMB-830045|Lifestyle
A_SilverCand|lt-a222f227-w5-i70-0c3c59|6|0|6.0000|6.0000|0|AMB-770387|Lifestyle
A_SilverCand|lt-a222f227-w5-i77-d4810e|6|0|18.0000|6.0000|0|AMB-624261|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i186-d6f56f|6|0|54.0000|18.0000|0|AMB-288244|Lifestyle
A_SilverCand|lt-c8241e81-w1-i63-f1c0ac|6|0|6.0000|6.0000|0|AMB-987225|Lifestyle
A_SilverCand|lt-c4b8202b-w1-i296-7b1605|6|0|6.0000|6.0000|0|AMB-381295|Lifestyle
A_SilverCand|lt-9d788e06-w1-i50-85dd8c|6|0|42.0000|42.0000|0|AMB-496437|Lifestyle
A_SilverCand|lt-9d788e06-w1-i40-ab540b|6|0|6.0000|6.0000|0|AMB-878612|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i8-94042d|6|0|30.0000|6.0000|0|AMB-468907|Lifestyle
A_SilverCand|lt-c8241e81-w1-i310-eaeea2|6|0|.0000|.0000|0|AMB-044948|Lifestyle
A_SilverCand|lt-b036a425-w1-i102-70c0bd|6|0|.0000|.0000|0|AMB-821266|Lifestyle
A_SilverCand|lt-a222f227-w5-i108-ffa018|6|0|6.0000|6.0000|0|AMB-425614|Lifestyle
A_SilverCand|lt-c8241e81-w1-i303-5a7304|6|0|.0000|.0000|0|AMB-837636|Lifestyle
A_SilverCand|lt-c8241e81-w1-i301-3127bf|6|0|.0000|.0000|0|AMB-030722|Lifestyle
A_SilverCand|lt-8ff5dfd4-w1-i98-356f6f|6|0|546.0000|90.0000|0|AMB-002601|Lifestyle
A_SilverCand|lt-c727361f-l50-3-03e82e|6|0|912.0000|954.0000|0|AMB-011846|Lifestyle
A_SilverCand|lt-b036a425-w1-i170-6d4f4a|6|0|.0000|.0000|0|AMB-814127|Lifestyle
