"MemberId","Bucket","PrevEP","Achieved","RankId","RankName","PrevRankId","Error"
"AMB-997067","U","12","False",,,,
"AMB-994179","U","12","False",,,,
"AMB-993195","U","12","False",,,,
"AMB-992580","U","60","False",,,,
"AMB-992262","U","66","False",,,,
"AMB-992131","U","12","False",,,,
"AMB-991594","U","18","False",,,,
"AMB-989419","U","12","False",,,,
"AMB-987906","U","12","False",,,,
"AMB-987803","U","12","False",,,,
"AMB-987225","U","18","False",,,,
"AMB-986120","U","12","False",,,,
"AMB-983234","U","18","False",,,,
"AMB-983115","U","12","False",,,,
"AMB-982935","U","12","False",,,,
"AMB-980391","U","12","False",,,,
"AMB-978777","U","12","False",,,,
"AMB-978445","U","60","False",,,,
"AMB-975932","U","12","False",,,,
"AMB-975791","U","12","False",,,,
"AMB-973235","U","12","False",,,,
"AMB-972137","U","12","False",,,,
"AMB-971978","U","12","False",,,,
"AMB-971578","U","12","False",,,,
"AMB-970121","U","1188","False",,,,
"AMB-969856","U","12","False",,,,
"AMB-969850","U","12","False",,,,
"AMB-969357","U","12","False",,,,
"AMB-969199","U","12","False",,,,
"AMB-969159","U","18","False",,,,
"AMB-968784","U","12","False",,,,
"AMB-968775","U","12","False",,,,
"AMB-968569","U","12","False",,,,
"AMB-968176","U","12","False",,,,
"AMB-966988","U","12","False",,,,
"AMB-966298","U","12","False",,,,
"AMB-965526","U","12","False",,,,
"AMB-965523","U","18","False",,,,
"AMB-964026","U","12","False",,,,
"AMB-960705","U","174","False",,,,
"AMB-959830","U","18","False",,,,
"AMB-959630","U","12","False",,,,
"AMB-958909","U","12","False",,,,
"AMB-956026","U","12","False",,,,
"AMB-955001","U","12","False",,,,
"AMB-949701","U","18","False",,,,
"AMB-949251","U","60","False",,,,
"AMB-946749","U","12","False",,,,
"AMB-946234","U","288","False",,,,
"AMB-945651","U","12","False",,,,
"AMB-944433","U","18","False",,,,
"AMB-943369","U","12","False",,,,
"AMB-942849","U","12","False",,,,
"AMB-942024","U","12","False",,,,
"AMB-940258","U","12","False",,,,
"AMB-940103","U","12","False",,,,
"AMB-938187","U","12","False",,,,
"AMB-938133","U","12","False",,,,
"AMB-937899","U","12","False",,,,
"AMB-937106","U","18","False",,,,
"AMB-935572","U","12","False",,,,
"AMB-933181","U","354","False",,,,
"AMB-932756","U","402","False",,,,
"AMB-932718","U","12","False",,,,
"AMB-929617","U","12","False",,,,
"AMB-924337","U","474","False",,,,
"AMB-923404","U","12","False",,,,
"AMB-921683","U","12","False",,,,
"AMB-920515","U","18","False",,,,
"AMB-920366","U","12","False",,,,
"AMB-919104","U","12","False",,,,
"AMB-911727","U","18","False",,,,
"AMB-911154","U","60","False",,,,
"AMB-910310","U","12","False",,,,
"AMB-908773","U","12","False",,,,
"AMB-907123","U","12","False",,,,
"AMB-904029","U","12","False",,,,
"AMB-903697","U","12","False",,,,
"AMB-902907","U","12","False",,,,
"AMB-901889","U","12","False",,,,
"AMB-901003","U","12","False",,,,
"AMB-900478","U","108","False",,,,
"AMB-899107","U","60","False",,,,
"AMB-896122","U","18","False",,,,
"AMB-894787","U","12","False",,,,
"AMB-894184","U","12","False",,,,
"AMB-891685","U","12","False",,,,
"AMB-891195","U","12","False",,,,
"AMB-891040","U","12","False",,,,
"AMB-890445","U","18","False",,,,
"AMB-889706","U","12","False",,,,
"AMB-889260","U","12","False",,,,
"AMB-887414","U","12","False",,,,
"AMB-886312","U","12","False",,,,
"AMB-885004","U","12","False",,,,
"AMB-884923","U","12","False",,,,
"AMB-883197","U","18","False",,,,
"AMB-882579","U","12","False",,,,
"AMB-882089","U","18","False",,,,
"AMB-882033","U","12","False",,,,
"AMB-880459","U","12","False",,,,
"AMB-878442","U","60","False",,,,
"AMB-877415","U","12","False",,,,
"AMB-877167","U","12","False",,,,
"AMB-875554","U","12","False",,,,
"AMB-874776","U","12","False",,,,
"AMB-874518","U","12","False",,,,
"AMB-873986","U","396","False",,,,
"AMB-868835","U","18","False",,,,
"AMB-865751","U","12","False",,,,
"AMB-864084","U","12","False",,,,
"AMB-862777","U","12","False",,,,
"AMB-860419","U","12","False",,,,
"AMB-860225","U","12","False",,,,
"AMB-860014","U","18","False",,,,
"AMB-857218","U","12","False",,,,
"AMB-857129","U","12","False",,,,
"AMB-855611","U","12","False",,,,
"AMB-855173","U","150","False",,,,
"AMB-854394","U","12","False",,,,
"AMB-851934","U","174","False",,,,
"AMB-851773","U","66","False",,,,
"AMB-851061","U","18","False",,,,
"AMB-849002","U","12","False",,,,
"AMB-848895","U","12","False",,,,
"AMB-847340","U","12","False",,,,
"AMB-847332","U","12","False",,,,
"AMB-843048","U","12","False",,,,
"AMB-842929","U","12","False",,,,
"AMB-842534","U","12","False",,,,
"AMB-842330","U","12","False",,,,
"AMB-842226","U","12","False",,,,
"AMB-840764","U","12","False",,,,
"AMB-840359","U","12","False",,,,
"AMB-839642","U","12","False",,,,
"AMB-839290","U","12","False",,,,
"AMB-838701","U","12","False",,,,
"AMB-837449","U","12","False",,,,
"AMB-836338","U","12","False",,,,
"AMB-834767","U","12","False",,,,
"AMB-833019","U","12","False",,,,
"AMB-831919","U","12","False",,,,
"AMB-831228","U","12","False",,,,
"AMB-830594","U","12","False",,,,
"AMB-830045","U","12","False",,,,
"AMB-829140","U","12","False",,,,
"AMB-828862","U","12","False",,,,
"AMB-826817","U","12","False",,,,
"AMB-826800","U","12","False",,,,
"AMB-826165","U","12","False",,,,
"AMB-825355","U","12","False",,,,
"AMB-821266","U","12","False",,,,
"AMB-819626","U","12","False",,,,
"AMB-819421","U","18","False",,,,
"AMB-818351","U","12","False",,,,
"AMB-818075","U","12","False",,,,
"AMB-817747","U","12","False",,,,
"AMB-817074","U","18","False",,,,
"AMB-815644","U","12","False",,,,
"AMB-814127","U","12","False",,,,
"AMB-813309","U","12","False",,,,
"AMB-812384","U","12","False",,,,
"AMB-812027","U","12","False",,,,
"AMB-808952","U","12","False",,,,
"AMB-807101","U","12","False",,,,
"AMB-805815","U","12","False",,,,
"AMB-805021","U","12","False",,,,
"AMB-804828","U","12","False",,,,
"AMB-802742","U","12","False",,,,
"AMB-801793","U","12","False",,,,
"AMB-801211","U","12","False",,,,
"AMB-801163","U","12","False",,,,
"AMB-799906","U","12","False",,,,
"AMB-799495","U","12","False",,,,
"AMB-797897","U","12","False",,,,
"AMB-792420","U","12","False",,,,
"AMB-790841","U","12","False",,,,
"AMB-790544","U","12","False",,,,
"AMB-790003","U","18","False",,,,
"AMB-789768","U","18","False",,,,
"AMB-788363","U","18","False",,,,
"AMB-788345","U","12","False",,,,
"AMB-788160","U","12","False",,,,
"AMB-784868","U","12","False",,,,
"AMB-784853","U","12","False",,,,
"AMB-783852","U","12","False",,,,
"AMB-783798","U","12","False",,,,
"AMB-783772","U","66","False",,,,
"AMB-782341","U","12","False",,,,
"AMB-782041","U","12","False",,,,
"AMB-781682","U","12","False",,,,
"AMB-780488","U","18","False",,,,
"AMB-779085","U","12","False",,,,
"AMB-778503","U","234","False",,,,
"AMB-776864","U","18","False",,,,
"AMB-776750","U","12","False",,,,
"AMB-776255","U","12","False",,,,
"AMB-774364","U","12","False",,,,
"AMB-774182","U","12","False",,,,
"AMB-774153","U","12","False",,,,
"AMB-773863","U","12","False",,,,
"AMB-772786","U","18","False",,,,
"AMB-772645","U","60","False",,,,
"AMB-772544","U","12","False",,,,
"AMB-770983","U","12","False",,,,
"AMB-770387","U","12","False",,,,
"AMB-769286","U","12","False",,,,
"AMB-767088","U","18","False",,,,
"AMB-766993","U","18","False",,,,
"AMB-766366","U","12","False",,,,
"AMB-765809","U","12","False",,,,
"AMB-765370","U","12","False",,,,
"AMB-764180","U","18","False",,,,
"AMB-762825","U","12","False",,,,
"AMB-762477","U","12","False",,,,
"AMB-762029","U","12","False",,,,
"AMB-759592","U","12","False",,,,
"AMB-758930","U","12","False",,,,
"AMB-756427","U","12","False",,,,
"AMB-755916","U","12","False",,,,
"AMB-754914","U","12","False",,,,
"AMB-754504","U","18","False",,,,
"AMB-751897","U","18","False",,,,
"AMB-749433","U","12","False",,,,
"AMB-748554","U","12","False",,,,
"AMB-746420","U","12","False",,,,
"AMB-746181","U","12","False",,,,
"AMB-746032","U","12","False",,,,
"AMB-744937","U","12","False",,,,
"AMB-743311","U","12","False",,,,
"AMB-741906","U","18","False",,,,
"AMB-739812","U","18","False",,,,
"AMB-739242","U","18","False",,,,
"AMB-739034","U","12","False",,,,
"AMB-738897","U","12","False",,,,
"AMB-738511","U","12","False",,,,
"AMB-737549","U","72","False",,,,
"AMB-733964","U","18","False",,,,
"AMB-733364","U","12","False",,,,
"AMB-731690","U","12","False",,,,
"AMB-729445","U","12","False",,,,
"AMB-727642","U","12","False",,,,
"AMB-727617","U","84","False",,,,
"AMB-726496","U","12","False",,,,
"AMB-725642","U","12","False",,,,
"AMB-723254","U","78","False",,,,
"AMB-722812","U","12","False",,,,
"AMB-720708","U","12","False",,,,
"AMB-717490","U","12","False",,,,
"AMB-717476","U","12","False",,,,
"AMB-715518","U","12","False",,,,
"AMB-714446","U","12","False",,,,
"AMB-713888","U","12","False",,,,
"AMB-710416","U","408","False",,,,
"AMB-710174","U","12","False",,,,
"AMB-710173","U","12","False",,,,
"AMB-708028","U","12","False",,,,
"AMB-707855","U","60","False",,,,
"AMB-705222","U","12","False",,,,
"AMB-704006","U","12","False",,,,
"AMB-703552","U","12","False",,,,
"AMB-703525","U","12","False",,,,
"AMB-703000","U","18","False",,,,
"AMB-701850","U","18","False",,,,
"AMB-701757","U","12","False",,,,
"AMB-699471","U","12","False",,,,
"AMB-699318","U","18","False",,,,
"AMB-698083","U","72","False",,,,
"AMB-697885","U","408","False",,,,
"AMB-696402","U","12","False",,,,
"AMB-696282","U","12","False",,,,
"AMB-695772","U","12","False",,,,
"AMB-695600","U","18","False",,,,
"AMB-693131","U","12","False",,,,
"AMB-692886","U","12","False",,,,
"AMB-692576","U","12","False",,,,
"AMB-691253","U","60","False",,,,
"AMB-688758","U","12","False",,,,
"AMB-688728","U","12","False",,,,
"AMB-687533","U","60","False",,,,
"AMB-687000","U","12","False",,,,
"AMB-685214","U","12","False",,,,
"AMB-684521","U","12","False",,,,
"AMB-681708","U","18","False",,,,
"AMB-681513","U","18","False",,,,
"AMB-680458","U","12","False",,,,
"AMB-679522","U","714","False",,,,
"AMB-678630","U","18","False",,,,
"AMB-677659","U","12","False",,,,
